participant,session_type,window_center,left_eda_mean,right_eda_mean,left_eda_n_peaks,right_eda_n_peaks,left_bvp_hr_mean,right_bvp_hr_mean,left_acc_mag_mean,right_acc_mag_mean,left_temp_mean,right_temp_mean,rmssd_mean,physio_cluster,physio_state
A1,,1624262177.5,1.1628647958744915,3.165693086789307,-1.7678573408304321,-1.7025620842086377,-1.5266849605300021,0.46932645648508314,1.008145440833552,1.0390921051715565,0.8481415403104635,1.346355242856302,,0,Movement / Artifact
A1,,1624262180.0,1.570600791551356,3.379307949423887,-1.0605700601552643,-1.7025620842086377,-0.5883988453503974,2.201541528195068,1.3594361573616467,2.5518988878635027,0.8336366984445231,1.2989172948726337,,0,Movement / Artifact
A1,,1624262182.5,1.2372229734586138,3.5784040289674697,-1.0605700601552643,-0.9436306116025586,1.1869122269738124,1.8063308615799454,1.5281178290590856,5.643329808297227,0.8046270147126812,1.2952682219508083,,0,Movement / Artifact
A1,,1624262185.0,1.0523561676259758,4.025680675043447,-1.0605700601552643,-1.7025620842086377,1.2187452087766268,0.23725598569172637,0.8440821295155329,4.4870886630384845,0.7864959623802685,1.2952682219508083,,0,Movement / Artifact
A1,,1624262187.5,0.8342132309461792,4.220630381424275,-1.0605700601552643,-1.7025620842086377,0.6073134146049168,0.23369527686194197,-0.33383695998538093,1.8204042656129396,0.7901221728467666,1.2843210031853574,,0,Low Arousal
A1,,1624262190.0,1.381420822854271,4.662290910244525,-1.0605700601552643,-0.9436306116025586,0.7218910758117107,0.5842700854617238,-0.6156672118441656,1.1807083033330221,0.7683649100478818,1.2624265656543907,,0,High Arousal
A1,,1624262192.5,2.444408923790051,4.687234998938054,-1.0605700601552643,-1.7025620842086377,1.3811301473410358,-0.42135058412697257,-0.2907492934453753,-0.04797307639153578,0.7466076472489841,1.2222867635143608,,0,Low Arousal
A1,,1624262195.0,2.5491665079203925,4.128799712582074,-1.7678573408304321,-2.461493556814717,1.806475891633456,0.7543296141026197,0.7032638306765256,4.108500964356749,0.7611124891149116,1.193094180139795,0.03125,0,Movement / Artifact
A1,,1624262197.5,2.006271597980005,3.768627668775385,-1.0605700601552643,-1.7025620842086377,1.6744499125575825,0.6863292147623025,16.823418640547544,5.774700701917101,0.7683649100478689,1.1784978884525183,0.03125,0,Movement / Artifact
A1,,1624262200.0,1.0874803846464032,3.357299030902067,0.35400450119507126,-0.18469913899647952,1.5160238128379477,-0.8553085919782509,16.93208711755257,2.6781852324749456,0.7302897001498334,1.1675506696870674,,0,Movement / Artifact
