event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1630317562.0,stimulus,1,1,,,PracticeSession
1630317562.5,fixation,1,1,,,PracticeSession
1630317564.0,stimulus,1,2,,,PracticeSession
1630317564.5,fixation,1,2,,,PracticeSession
1630317566.0,stimulus,1,3,,,PracticeSession
1630317566.5,fixation,1,3,,,PracticeSession
1630317568.0,stimulus,1,4,,,PracticeSession
1630317568.5,fixation,1,4,,,PracticeSession
1630317570.0,stimulus,1,5,,,PracticeSession
1630317570.5,fixation,1,5,,,PracticeSession
1630317572.0,stimulus,1,6,,,PracticeSession
1630317572.5,fixation,1,6,,,PracticeSession
1630317574.0,stimulus,1,7,,,PracticeSession
1630317574.5,fixation,1,7,,,PracticeSession
1630317576.0,stimulus,1,8,,,PracticeSession
1630317576.5,fixation,1,8,,,PracticeSession
1630317578.0,stimulus,1,9,,,PracticeSession
1630317578.5,fixation,1,9,,,PracticeSession
1630317580.0,stimulus,1,10,,,PracticeSession
1630317580.5,fixation,1,10,,,PracticeSession
1630317582.0,stimulus,1,11,,,PracticeSession
1630317582.5,fixation,1,11,,,PracticeSession
1630317584.0,stimulus,1,12,,,PracticeSession
1630317584.5,fixation,1,12,,,PracticeSession
1630317586.0,stimulus,1,13,,,PracticeSession
1630317586.5,fixation,1,13,,,PracticeSession
1630317588.0,stimulus,1,14,,,PracticeSession
1630317588.5,fixation,1,14,,,PracticeSession
1630317590.0,stimulus,1,15,,,PracticeSession
1630317590.5,fixation,1,15,,,PracticeSession
1630317592.0,stimulus,1,16,,,PracticeSession
1630317592.5,fixation,1,16,,,PracticeSession
1630317594.0,stimulus,1,17,,,PracticeSession
1630317594.5,fixation,1,17,,,PracticeSession
1630317596.0,stimulus,1,18,,,PracticeSession
1630317596.5,fixation,1,18,,,PracticeSession
1630317598.0,stimulus,1,19,,,PracticeSession
1630317598.5,fixation,1,19,,,PracticeSession
1630317600.0,stimulus,1,20,,,PracticeSession
1630317600.5,fixation,1,20,,,PracticeSession
1630317602.0,stimulus,1,21,,,PracticeSession
1630317602.5,fixation,1,21,,,PracticeSession
1630317604.0,stimulus,1,22,,,PracticeSession
1630317604.5,fixation,1,22,,,PracticeSession
1630317606.0,stimulus,1,23,,,PracticeSession
1630317606.5,fixation,1,23,,,PracticeSession
1630317608.0,stimulus,1,24,,,PracticeSession
1630317608.5,fixation,1,24,,,PracticeSession
1630317610.0,stimulus,1,25,,,PracticeSession
1630317610.5,fixation,1,25,,,PracticeSession
1630317612.0,stimulus,1,26,,,PracticeSession
1630317612.5,fixation,1,26,,,PracticeSession
1630317614.0,stimulus,1,27,,,PracticeSession
1630317614.5,fixation,1,27,,,PracticeSession
1630317616.0,stimulus,1,28,,,PracticeSession
1630317616.5,fixation,1,28,,,PracticeSession
1630317618.0,stimulus,1,29,,,PracticeSession
1630317618.5,fixation,1,29,,,PracticeSession
1630317620.0,stimulus,1,30,,,PracticeSession
1630317620.5,fixation,1,30,,,PracticeSession
1630317622.0,stimulus,1,31,,,PracticeSession
1630317622.5,fixation,1,31,,,PracticeSession
1630317624.0,stimulus,1,32,,,PracticeSession
1630317624.5,fixation,1,32,,,PracticeSession
1630317626.0,stimulus,1,33,,,PracticeSession
1630317626.5,fixation,1,33,,,PracticeSession
1630317628.0,stimulus,1,34,,,PracticeSession
1630317628.5,fixation,1,34,,,PracticeSession
1630317630.0,stimulus,1,35,,,PracticeSession
1630317630.5,fixation,1,35,,,PracticeSession
1630317632.0,stimulus,1,36,,,PracticeSession
1630317632.5,fixation,1,36,,,PracticeSession
1630317634.0,stimulus,1,37,,,PracticeSession
1630317634.5,fixation,1,37,,,PracticeSession
1630317636.0,stimulus,1,38,,,PracticeSession
1630317636.5,fixation,1,38,,,PracticeSession
1630317638.0,stimulus,1,39,,,PracticeSession
1630317638.5,fixation,1,39,,,PracticeSession
1630317640.0,stimulus,1,40,,,PracticeSession
1630317640.5,fixation,1,40,,,PracticeSession
1630317642.0,stimulus,1,41,,,PracticeSession
1630317642.5,fixation,1,41,,,PracticeSession
1630317644.0,stimulus,1,42,,,PracticeSession
1630317644.5,fixation,1,42,,,PracticeSession
1630317646.0,stimulus,1,43,,,PracticeSession
1630317646.5,fixation,1,43,,,PracticeSession
1630317648.0,stimulus,1,44,,,PracticeSession
1630317648.5,fixation,1,44,,,PracticeSession
1630317650.0,stimulus,1,45,,0.0,NoAct
1630317651.052,fixation,1,45,0.552,1.0,NoAct
1630317652.0,stimulus,1,46,,0.0,NoAct
1630317653.062,fixation,1,46,0.562,1.0,NoAct
1630317654.0,stimulus,1,47,,0.0,NoAct
1630317655.222,fixation,1,47,0.722,1.0,NoAct
1630317656.0,stimulus,1,48,,0.0,NoAct
1630317656.882,fixation,1,48,0.382,1.0,NoAct
1630317658.0,stimulus,1,49,,0.0,NoAct
1630317658.872,fixation,1,49,0.372,1.0,NoAct
1630317660.0,stimulus,1,50,,0.0,NoAct
1630317660.912,fixation,1,50,0.412,1.0,NoAct
1630317662.0,stimulus,1,51,,0.0,NoAct
1630317662.912,fixation,1,51,0.412,0.0,NoAct
1630317664.0,stimulus,1,52,,0.0,NoAct
1630317664.869,fixation,1,52,0.369,1.0,NoAct
1630317666.0,stimulus,1,53,,0.0,NoAct
1630317666.837,fixation,1,53,0.337,1.0,NoAct
1630317668.0,stimulus,1,54,,0.0,NoAct
