event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1630810977.02,stimulus,1,1,,,PracticeSession
1630810977.52,fixation,1,1,,,PracticeSession
1630810979.02,stimulus,1,2,,,PracticeSession
1630810979.52,fixation,1,2,,,PracticeSession
1630810981.02,stimulus,1,3,,,PracticeSession
1630810981.52,fixation,1,3,,,PracticeSession
1630810983.02,stimulus,1,4,,,PracticeSession
1630810983.52,fixation,1,4,,,PracticeSession
1630810985.02,stimulus,1,5,,,PracticeSession
1630810985.52,fixation,1,5,,,PracticeSession
1630810987.02,stimulus,1,6,,,PracticeSession
1630810987.52,fixation,1,6,,,PracticeSession
1630810989.02,stimulus,1,7,,,PracticeSession
1630810989.52,fixation,1,7,,,PracticeSession
1630810991.02,stimulus,1,8,,,PracticeSession
1630810991.52,fixation,1,8,,,PracticeSession
1630810993.02,stimulus,1,9,,,PracticeSession
1630810993.52,fixation,1,9,,,PracticeSession
1630810995.02,stimulus,1,10,,,PracticeSession
1630810995.52,fixation,1,10,,,PracticeSession
1630810997.02,stimulus,1,11,,,PracticeSession
1630810997.52,fixation,1,11,,,PracticeSession
1630810999.02,stimulus,1,12,,,PracticeSession
1630810999.52,fixation,1,12,,,PracticeSession
1630811001.02,stimulus,1,13,,,PracticeSession
1630811001.52,fixation,1,13,,,PracticeSession
1630811003.02,stimulus,1,14,,,PracticeSession
1630811003.52,fixation,1,14,,,PracticeSession
1630811005.02,stimulus,1,15,,,PracticeSession
1630811005.52,fixation,1,15,,,PracticeSession
1630811007.02,stimulus,1,16,,,PracticeSession
1630811007.52,fixation,1,16,,,PracticeSession
1630811009.02,stimulus,1,17,,,PracticeSession
1630811009.52,fixation,1,17,,,PracticeSession
1630811011.02,stimulus,1,18,,,PracticeSession
1630811011.52,fixation,1,18,,,PracticeSession
1630811013.02,stimulus,1,19,,,PracticeSession
1630811013.52,fixation,1,19,,,PracticeSession
1630811015.02,stimulus,1,20,,,PracticeSession
1630811015.52,fixation,1,20,,,PracticeSession
1630811017.02,stimulus,1,21,,,PracticeSession
1630811017.52,fixation,1,21,,,PracticeSession
1630811019.02,stimulus,1,22,,,PracticeSession
1630811019.52,fixation,1,22,,,PracticeSession
1630811021.02,stimulus,1,23,,,PracticeSession
1630811021.52,fixation,1,23,,,PracticeSession
1630811023.02,stimulus,1,24,,,PracticeSession
1630811023.52,fixation,1,24,,,PracticeSession
1630811025.02,stimulus,1,25,,,PracticeSession
1630811025.52,fixation,1,25,,,PracticeSession
1630811027.02,stimulus,1,26,,,PracticeSession
1630811027.52,fixation,1,26,,,PracticeSession
1630811029.02,stimulus,1,27,,,PracticeSession
1630811029.52,fixation,1,27,,,PracticeSession
1630811031.02,stimulus,1,28,,,PracticeSession
1630811031.52,fixation,1,28,,,PracticeSession
1630811033.02,stimulus,1,29,,,PracticeSession
1630811033.52,fixation,1,29,,,PracticeSession
1630811035.02,stimulus,1,30,,,PracticeSession
1630811035.52,fixation,1,30,,,PracticeSession
1630811037.02,stimulus,1,31,,,PracticeSession
1630811037.52,fixation,1,31,,,PracticeSession
1630811039.02,stimulus,1,32,,,PracticeSession
1630811039.52,fixation,1,32,,,PracticeSession
1630811041.02,stimulus,1,33,,,PracticeSession
1630811041.52,fixation,1,33,,,PracticeSession
1630811043.02,stimulus,1,34,,,PracticeSession
1630811043.52,fixation,1,34,,,PracticeSession
1630811045.02,stimulus,1,35,,,PracticeSession
1630811045.52,fixation,1,35,,,PracticeSession
1630811047.02,stimulus,1,36,,,PracticeSession
