event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1624262445.88,stimulus,1,1,,,PracticeSession
1624262446.38,fixation,1,1,,,PracticeSession
1624262447.88,stimulus,1,2,,,PracticeSession
1624262448.38,fixation,1,2,,,PracticeSession
1624262449.88,stimulus,1,3,,,PracticeSession
1624262450.38,fixation,1,3,,,PracticeSession
1624262451.88,stimulus,1,4,,,PracticeSession
1624262452.38,fixation,1,4,,,PracticeSession
1624262453.88,stimulus,1,5,,,PracticeSession
1624262454.38,fixation,1,5,,,PracticeSession
1624262455.88,stimulus,1,6,,,PracticeSession
1624262456.38,fixation,1,6,,,PracticeSession
1624262457.88,stimulus,1,7,,,PracticeSession
1624262458.38,fixation,1,7,,,PracticeSession
1624262459.88,stimulus,1,8,,,PracticeSession
1624262460.38,fixation,1,8,,,PracticeSession
1624262461.88,stimulus,1,9,,,PracticeSession
1624262462.38,fixation,1,9,,,PracticeSession
1624262463.88,stimulus,1,10,,,PracticeSession
1624262464.38,fixation,1,10,,,PracticeSession
1624262465.88,stimulus,1,11,,,PracticeSession
1624262466.38,fixation,1,11,,,PracticeSession
1624262467.88,stimulus,1,12,,,PracticeSession
1624262468.38,fixation,1,12,,,PracticeSession
1624262469.88,stimulus,1,13,,,PracticeSession
1624262470.38,fixation,1,13,,,PracticeSession
1624262471.88,stimulus,1,14,,,PracticeSession
1624262472.38,fixation,1,14,,,PracticeSession
1624262473.88,stimulus,1,15,,,PracticeSession
1624262474.38,fixation,1,15,,,PracticeSession
1624262475.88,stimulus,1,16,,,PracticeSession
1624262476.38,fixation,1,16,,,PracticeSession
1624262477.88,stimulus,1,17,,,PracticeSession
1624262478.38,fixation,1,17,,,PracticeSession
1624262479.88,stimulus,1,18,,,PracticeSession
1624262480.38,fixation,1,18,,,PracticeSession
1624262481.88,stimulus,1,19,,,PracticeSession
1624262482.38,fixation,1,19,,,PracticeSession
1624262483.88,stimulus,1,20,,,PracticeSession
1624262484.38,fixation,1,20,,,PracticeSession
1624262485.88,stimulus,1,21,,,PracticeSession
1624262486.38,fixation,1,21,,,PracticeSession
1624262487.88,stimulus,1,22,,,PracticeSession
1624262488.38,fixation,1,22,,,PracticeSession
1624262489.88,stimulus,1,23,,,PracticeSession
1624262490.38,fixation,1,23,,,PracticeSession
1624262491.88,stimulus,1,24,,,PracticeSession
1624262492.38,fixation,1,24,,,PracticeSession
1624262493.88,stimulus,1,25,,,PracticeSession
1624262494.38,fixation,1,25,,,PracticeSession
1624262495.88,stimulus,1,26,,,PracticeSession
1624262496.38,fixation,1,26,,,PracticeSession
1624262497.88,stimulus,1,27,,,PracticeSession
1624262498.38,fixation,1,27,,,PracticeSession
1624262499.88,stimulus,1,28,,,PracticeSession
1624262500.38,fixation,1,28,,,PracticeSession
1624262501.88,stimulus,1,29,,,PracticeSession
1624262502.38,fixation,1,29,,,PracticeSession
1624262503.88,stimulus,1,30,,,PracticeSession
1624262504.38,fixation,1,30,,,PracticeSession
1624262505.88,stimulus,1,31,,,PracticeSession
1624262506.38,fixation,1,31,,,PracticeSession
1624262507.88,stimulus,1,32,,,PracticeSession
1624262508.38,fixation,1,32,,,PracticeSession
1624262509.88,stimulus,1,33,,,PracticeSession
1624262510.38,fixation,1,33,,,PracticeSession
1624262511.88,stimulus,1,34,,,PracticeSession
1624262512.38,fixation,1,34,,,PracticeSession
1624262513.88,stimulus,1,35,,,PracticeSession
1624262514.38,fixation,1,35,,,PracticeSession
1624262515.88,stimulus,1,36,,,PracticeSession
1624262516.38,fixation,1,36,,,PracticeSession
1624262517.88,stimulus,1,37,,,PracticeSession
1624262518.38,fixation,1,37,,,PracticeSession
1624262519.88,stimulus,1,38,,,PracticeSession
1624262520.38,fixation,1,38,,,PracticeSession
1624262521.88,stimulus,1,39,,,PracticeSession
1624262522.38,fixation,1,39,,,PracticeSession
1624262523.88,stimulus,1,40,,,PracticeSession
1624262524.38,fixation,1,40,,,PracticeSession
1624262525.88,stimulus,1,41,,,PracticeSession
1624262526.38,fixation,1,41,,,PracticeSession
1624262527.88,stimulus,1,42,,,PracticeSession
1624262528.38,fixation,1,42,,,PracticeSession
1624262529.88,stimulus,1,43,,,PracticeSession
1624262530.38,fixation,1,43,,,PracticeSession
1624262531.88,stimulus,1,44,,,PracticeSession
1624262532.38,fixation,1,44,,,PracticeSession
1624262534.2910001,stimulus,1,45,0.411,1.0,NoMusic
1624262534.38,fixation,1,45,,0.0,NoMusic
1624262536.2110002,stimulus,1,46,0.331,1.0,NoMusic
1624262536.38,fixation,1,46,,0.0,NoMusic
