event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1635633704.75,stimulus,1,1,,,PracticeSession
1635633705.25,fixation,1,1,,,PracticeSession
1635633706.75,stimulus,1,2,,,PracticeSession
1635633707.25,fixation,1,2,,,PracticeSession
1635633708.75,stimulus,1,3,,,PracticeSession
1635633709.25,fixation,1,3,,,PracticeSession
1635633710.75,stimulus,1,4,,,PracticeSession
1635633711.25,fixation,1,4,,,PracticeSession
1635633712.75,stimulus,1,5,,,PracticeSession
1635633713.25,fixation,1,5,,,PracticeSession
1635633714.75,stimulus,1,6,,,PracticeSession
1635633715.25,fixation,1,6,,,PracticeSession
1635633716.75,stimulus,1,7,,,PracticeSession
1635633717.25,fixation,1,7,,,PracticeSession
1635633718.75,stimulus,1,8,,,PracticeSession
1635633719.25,fixation,1,8,,,PracticeSession
1635633720.75,stimulus,1,9,,,PracticeSession
1635633721.25,fixation,1,9,,,PracticeSession
1635633722.75,stimulus,1,10,,,PracticeSession
1635633723.25,fixation,1,10,,,PracticeSession
1635633724.75,stimulus,1,11,,,PracticeSession
1635633725.25,fixation,1,11,,,PracticeSession
1635633726.75,stimulus,1,12,,,PracticeSession
1635633727.25,fixation,1,12,,,PracticeSession
1635633728.75,stimulus,1,13,,,PracticeSession
1635633729.25,fixation,1,13,,,PracticeSession
1635633730.75,stimulus,1,14,,,PracticeSession
1635633731.25,fixation,1,14,,,PracticeSession
1635633732.75,stimulus,1,15,,,PracticeSession
1635633733.25,fixation,1,15,,,PracticeSession
1635633734.75,stimulus,1,16,,,PracticeSession
1635633735.25,fixation,1,16,,,PracticeSession
1635633736.75,stimulus,1,17,,,PracticeSession
1635633737.25,fixation,1,17,,,PracticeSession
1635633738.75,stimulus,1,18,,,PracticeSession
1635633739.25,fixation,1,18,,,PracticeSession
1635633740.75,stimulus,1,19,,,PracticeSession
1635633741.25,fixation,1,19,,,PracticeSession
1635633742.75,stimulus,1,20,,,PracticeSession
1635633743.25,fixation,1,20,,,PracticeSession
1635633744.75,stimulus,1,21,,,PracticeSession
1635633745.25,fixation,1,21,,,PracticeSession
1635633746.75,stimulus,1,22,,,PracticeSession
1635633747.25,fixation,1,22,,,PracticeSession
