event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1624275928.36,stimulus,1,1,,,PracticeSession
1624275928.86,fixation,1,1,,,PracticeSession
1624275930.36,stimulus,1,2,,,PracticeSession
1624275930.86,fixation,1,2,,,PracticeSession
1624275932.36,stimulus,1,3,,,PracticeSession
1624275932.86,fixation,1,3,,,PracticeSession
1624275934.36,stimulus,1,4,,,PracticeSession
1624275934.86,fixation,1,4,,,PracticeSession
1624275936.36,stimulus,1,5,,,PracticeSession
1624275936.86,fixation,1,5,,,PracticeSession
1624275938.36,stimulus,1,6,,,PracticeSession
1624275938.86,fixation,1,6,,,PracticeSession
1624275940.36,stimulus,1,7,,,PracticeSession
1624275940.86,fixation,1,7,,,PracticeSession
1624275942.36,stimulus,1,8,,,PracticeSession
1624275942.86,fixation,1,8,,,PracticeSession
1624275944.36,stimulus,1,9,,,PracticeSession
1624275944.86,fixation,1,9,,,PracticeSession
1624275946.36,stimulus,1,10,,,PracticeSession
1624275946.86,fixation,1,10,,,PracticeSession
1624275948.36,stimulus,1,11,,,PracticeSession
1624275948.86,fixation,1,11,,,PracticeSession
1624275950.36,stimulus,1,12,,,PracticeSession
1624275950.86,fixation,1,12,,,PracticeSession
1624275952.36,stimulus,1,13,,,PracticeSession
1624275952.86,fixation,1,13,,,PracticeSession
1624275954.36,stimulus,1,14,,,PracticeSession
1624275954.86,fixation,1,14,,,PracticeSession
1624275956.36,stimulus,1,15,,,PracticeSession
1624275956.86,fixation,1,15,,,PracticeSession
1624275958.36,stimulus,1,16,,,PracticeSession
1624275958.86,fixation,1,16,,,PracticeSession
1624275960.36,stimulus,1,17,,,PracticeSession
1624275960.86,fixation,1,17,,,PracticeSession
1624275962.36,stimulus,1,18,,,PracticeSession
1624275962.86,fixation,1,18,,,PracticeSession
1624275964.36,stimulus,1,19,,,PracticeSession
1624275964.86,fixation,1,19,,,PracticeSession
1624275966.36,stimulus,1,20,,,PracticeSession
1624275966.86,fixation,1,20,,,PracticeSession
1624275968.36,stimulus,1,21,,,PracticeSession
1624275968.86,fixation,1,21,,,PracticeSession
1624275970.36,stimulus,1,22,,,PracticeSession
1624275970.86,fixation,1,22,,,PracticeSession
1624275972.36,stimulus,1,23,,,PracticeSession
1624275972.86,fixation,1,23,,,PracticeSession
1624275974.36,stimulus,1,24,,,PracticeSession
1624275974.86,fixation,1,24,,,PracticeSession
1624275976.36,stimulus,1,25,,,PracticeSession
1624275976.86,fixation,1,25,,,PracticeSession
1624275978.36,stimulus,1,26,,,PracticeSession
1624275978.86,fixation,1,26,,,PracticeSession
1624275980.36,stimulus,1,27,,,PracticeSession
1624275980.86,fixation,1,27,,,PracticeSession
1624275982.36,stimulus,1,28,,,PracticeSession
1624275982.86,fixation,1,28,,,PracticeSession
1624275984.36,stimulus,1,29,,,PracticeSession
1624275984.86,fixation,1,29,,,PracticeSession
1624275986.36,stimulus,1,30,,,PracticeSession
1624275986.86,fixation,1,30,,,PracticeSession
1624275988.36,stimulus,1,31,,,PracticeSession
1624275988.86,fixation,1,31,,,PracticeSession
1624275990.36,stimulus,1,32,,,PracticeSession
1624275990.86,fixation,1,32,,,PracticeSession
1624275992.36,stimulus,1,33,,,PracticeSession
1624275992.86,fixation,1,33,,,PracticeSession
1624275994.36,stimulus,1,34,,,PracticeSession
1624275994.86,fixation,1,34,,,PracticeSession
1624275996.36,stimulus,1,35,,,PracticeSession
1624275996.86,fixation,1,35,,,PracticeSession
1624275998.36,stimulus,1,36,,,PracticeSession
1624275998.86,fixation,1,36,,,PracticeSession
1624276000.36,stimulus,1,37,,,PracticeSession
1624276000.86,fixation,1,37,,,PracticeSession
1624276002.36,stimulus,1,38,,,PracticeSession
1624276002.86,fixation,1,38,,,PracticeSession
1624276004.36,stimulus,1,39,,,PracticeSession
1624276004.86,fixation,1,39,,,PracticeSession
1624276006.36,stimulus,1,40,,,PracticeSession
1624276006.86,fixation,1,40,,,PracticeSession
1624276008.36,stimulus,1,41,,,PracticeSession
1624276008.86,fixation,1,41,,,PracticeSession
1624276010.36,stimulus,1,42,,,PracticeSession
1624276010.86,fixation,1,42,,,PracticeSession
1624276012.36,stimulus,1,43,,,PracticeSession
1624276012.86,fixation,1,43,,,PracticeSession
1624276014.36,stimulus,1,44,,,PracticeSession
1624276014.86,fixation,1,44,,,PracticeSession
1624276016.36,stimulus,1,45,,0.0,NoAct
1624276018.0909998,fixation,1,45,1.231,1.0,NoAct
1624276018.36,stimulus,1,46,,0.0,NoAct
1624276019.566,fixation,1,46,0.706,1.0,NoAct
1624276020.843,stimulus,1,47,0.483,1.0,NoAct
1624276020.86,fixation,1,47,,0.0,NoAct
1624276022.6759999,stimulus,1,48,0.316,1.0,NoAct
1624276022.86,fixation,1,48,,0.0,NoAct
1624276024.698,stimulus,1,49,0.338,1.0,NoAct
1624276024.86,fixation,1,49,,0.0,NoAct
1624276026.741,stimulus,1,50,0.381,1.0,NoAct
1624276026.86,fixation,1,50,,0.0,NoAct
1624276028.678,stimulus,1,51,0.318,0.0,NoAct
1624276028.86,fixation,1,51,,0.0,NoAct
1624276030.82,stimulus,1,52,0.46,1.0,NoAct
1624276030.86,fixation,1,52,,0.0,NoAct
1624276032.7029998,stimulus,1,53,0.343,1.0,NoAct
1624276032.86,fixation,1,53,,0.0,NoAct
1624276034.7659998,stimulus,1,54,0.406,1.0,NoAct
1624276034.86,fixation,1,54,,0.0,NoAct
1624276036.8119998,stimulus,1,55,0.452,1.0,NoAct
1624276036.86,fixation,1,55,,0.0,NoAct
1624276038.794,stimulus,1,56,0.434,1.0,NoAct
1624276038.86,fixation,1,56,,0.0,NoAct
1624276040.725,stimulus,1,57,0.365,1.0,NoAct
1624276040.86,fixation,1,57,,0.0,NoAct
1624276042.7429998,stimulus,1,58,0.383,1.0,NoAct
1624276042.86,fixation,1,58,,0.0,NoAct
1624276044.817,stimulus,1,59,0.457,1.0,NoAct
1624276044.86,fixation,1,59,,0.0,NoAct
1624276046.7659998,stimulus,1,60,0.406,1.0,NoAct
1624276046.86,fixation,1,60,,0.0,NoAct
1624276048.714,stimulus,1,61,0.354,1.0,NoAct
1624276048.86,fixation,1,61,,0.0,NoAct
1624276050.758,stimulus,1,62,0.398,1.0,NoAct
1624276050.86,fixation,1,62,,0.0,NoAct
1624276052.7259998,stimulus,1,63,0.366,1.0,NoAct
1624276052.86,fixation,1,63,,0.0,NoAct
1624276054.712,stimulus,1,64,0.352,1.0,NoAct
1624276054.86,fixation,1,64,,0.0,NoAct
1624276056.819,stimulus,1,65,0.459,1.0,NoAct
1624276056.86,fixation,1,65,,0.0,NoAct
1624276058.7289999,stimulus,1,66,0.369,1.0,NoAct
1624276058.86,fixation,1,66,,0.0,NoAct
1624276060.8439999,stimulus,1,67,0.484,1.0,NoAct
1624276060.86,fixation,1,67,,0.0,NoAct
1624276062.704,stimulus,1,68,0.344,1.0,NoAct
1624276062.86,fixation,1,68,,0.0,NoAct
1624276064.731,stimulus,1,69,0.371,1.0,NoAct
1624276064.86,fixation,1,69,,0.0,NoAct
1624276066.8,stimulus,1,70,0.44,1.0,NoAct
1624276066.86,fixation,1,70,,0.0,NoAct
1624276068.7429998,stimulus,1,71,0.383,1.0,NoAct
1624276068.86,fixation,1,71,,0.0,NoAct
1624276070.793,stimulus,1,72,0.433,1.0,NoAct
1624276070.86,fixation,1,72,,0.0,NoAct
1624276072.7129998,stimulus,1,73,0.353,1.0,NoAct
1624276072.86,fixation,1,73,,0.0,NoAct
1624276074.721,stimulus,1,74,0.361,0.0,NoAct
1624276074.86,fixation,1,74,,0.0,NoAct
1624276076.656,stimulus,1,75,0.296,1.0,NoAct
1624276076.86,fixation,1,75,,0.0,NoAct
1624276078.859,stimulus,1,76,0.499,1.0,NoAct
1624276078.86,fixation,1,76,,0.0,NoAct
1624276080.763,stimulus,1,77,0.403,1.0,NoAct
1624276080.86,fixation,1,77,,0.0,NoAct
1624276082.36,stimulus,1,78,,0.0,NoAct
1624276082.902,fixation,1,78,0.042,1.0,NoAct
1624276084.36,stimulus,1,79,,0.0,NoAct
1624276084.862,fixation,1,79,0.002,1.0,NoAct
1624276086.7489998,stimulus,1,80,0.389,1.0,NoAct
1624276086.86,fixation,1,80,,0.0,NoAct
1624276088.36,stimulus,1,81,,0.0,NoAct
1624276089.1539998,fixation,1,81,0.294,1.0,NoAct
1624276090.36,stimulus,1,82,,0.0,NoAct
1624276090.918,fixation,1,82,0.058,1.0,NoAct
1624276092.791,stimulus,1,83,0.431,1.0,NoAct
1624276092.86,fixation,1,83,,0.0,NoAct
1624276094.83,stimulus,1,84,0.47,1.0,NoAct
1624276094.86,fixation,1,84,,0.0,NoAct
1624276096.852,stimulus,1,85,0.492,1.0,NoAct
1624276096.86,fixation,1,85,,0.0,NoAct
1624276098.79,stimulus,1,86,0.43,1.0,NoAct
1624276098.86,fixation,1,86,,0.0,NoAct
1624276100.7849998,stimulus,1,87,0.425,1.0,NoAct
1624276100.86,fixation,1,87,,0.0,NoAct
1624276102.824,stimulus,1,88,0.464,1.0,NoAct
1624276102.86,fixation,1,88,,0.0,NoAct
1624276104.7849998,stimulus,1,89,0.425,1.0,NoAct
1624276104.86,fixation,1,89,,0.0,NoAct
1624276106.36,stimulus,1,90,,0.0,NoAct
1624276106.9139998,fixation,1,90,0.054,1.0,NoAct
1624276108.7619998,stimulus,1,91,0.402,1.0,NoAct
1624276108.86,fixation,1,91,,0.0,NoAct
1624276110.36,stimulus,1,92,,0.0,NoAct
1624276110.885,fixation,1,92,0.025,1.0,NoAct
1624276112.8339999,stimulus,1,93,0.474,0.0,NoAct
1624276112.86,fixation,1,93,,0.0,NoAct
1624276114.714,stimulus,1,94,0.354,1.0,NoAct
1624276114.86,fixation,1,94,,0.0,NoAct
1624276116.7389998,stimulus,1,95,0.379,1.0,NoAct
1624276116.86,fixation,1,95,,0.0,NoAct
1624276118.731,stimulus,1,96,0.371,1.0,NoAct
1624276118.86,fixation,1,96,,0.0,NoAct
1624276120.7819998,stimulus,1,97,0.422,1.0,NoAct
1624276120.86,fixation,1,97,,0.0,NoAct
1624276122.7459998,stimulus,1,98,0.386,1.0,NoAct
1624276122.86,fixation,1,98,,0.0,NoAct
1624276124.781,stimulus,1,99,0.421,1.0,NoAct
1624276124.86,fixation,1,99,,0.0,NoAct
1624276126.7879999,stimulus,1,100,0.428,1.0,NoAct
1624276126.86,fixation,1,100,,0.0,NoAct
1624276128.8569999,stimulus,1,101,0.497,0.0,NoAct
1624276128.86,fixation,1,101,,0.0,NoAct
1624276130.817,stimulus,1,102,0.457,1.0,NoAct
1624276130.86,fixation,1,102,,0.0,NoAct
1624276132.36,stimulus,1,103,,0.0,NoAct
1624276133.0029998,fixation,1,103,0.143,1.0,NoAct
1624276134.36,stimulus,1,104,,0.0,NoAct
1624276135.123,fixation,1,104,0.263,1.0,NoAct
1624276136.36,stimulus,1,105,,0.0,NoAct
1624276136.8679998,fixation,1,105,0.008,1.0,NoAct
1624276138.7329998,stimulus,1,106,0.373,1.0,NoAct
1624276138.86,fixation,1,106,,0.0,NoAct
1624276140.36,stimulus,1,107,,0.0,NoAct
1624276140.873,fixation,1,107,0.013,1.0,NoAct
1624276142.8049998,stimulus,1,108,0.445,1.0,NoAct
1624276142.86,fixation,1,108,,0.0,NoAct
1624276144.833,stimulus,1,109,0.473,1.0,NoAct
1624276144.86,fixation,1,109,,0.0,NoAct
1624276146.7259998,stimulus,1,110,0.366,1.0,NoAct
1624276146.86,fixation,1,110,,0.0,NoAct
1624276148.36,stimulus,1,111,,0.0,NoAct
1624276149.0019999,fixation,1,111,0.142,1.0,NoAct
1624276150.823,stimulus,1,112,0.463,1.0,NoAct
1624276150.86,fixation,1,112,,0.0,NoAct
1624276152.8079998,stimulus,1,113,0.448,1.0,NoAct
1624276152.86,fixation,1,113,,0.0,NoAct
1624276154.74,stimulus,1,114,0.38,1.0,NoAct
1624276154.86,fixation,1,114,,0.0,NoAct
1624276156.694,stimulus,1,115,0.334,1.0,NoAct
1624276156.86,fixation,1,115,,0.0,NoAct
1624276158.712,stimulus,1,116,0.352,1.0,NoAct
1624276158.86,fixation,1,116,,0.0,NoAct
1624276160.767,stimulus,1,117,0.407,1.0,NoAct
1624276160.86,fixation,1,117,,0.0,NoAct
1624276162.781,stimulus,1,118,0.421,1.0,NoAct
1624276162.86,fixation,1,118,,0.0,NoAct
1624276164.814,stimulus,1,119,0.454,1.0,NoAct
1624276164.86,fixation,1,119,,0.0,NoAct
1624276166.7489998,stimulus,1,120,0.389,1.0,NoAct
1624276166.86,fixation,1,120,,0.0,NoAct
1624276168.735,stimulus,1,121,0.375,1.0,NoAct
1624276168.86,fixation,1,121,,0.0,NoAct
1624276170.796,stimulus,1,122,0.436,1.0,NoAct
1624276170.86,fixation,1,122,,0.0,NoAct
1624276172.745,stimulus,1,123,0.385,1.0,NoAct
1624276172.86,fixation,1,123,,0.0,NoAct
1624276174.7549999,stimulus,1,124,0.395,1.0,NoAct
1624276174.86,fixation,1,124,,0.0,NoAct
1624276176.7319999,stimulus,1,125,0.372,1.0,NoAct
1624276176.86,fixation,1,125,,0.0,NoAct
1624276178.7389998,stimulus,1,126,0.379,1.0,NoAct
1624276178.86,fixation,1,126,,0.0,NoAct
1624276180.714,stimulus,1,127,0.354,1.0,NoAct
1624276180.86,fixation,1,127,,0.0,NoAct
1624276182.783,stimulus,1,128,0.423,1.0,NoAct
1624276182.86,fixation,1,128,,0.0,NoAct
1624276184.7649999,stimulus,1,129,0.405,1.0,NoAct
1624276184.86,fixation,1,129,,0.0,NoAct
1624276186.8089998,stimulus,1,130,0.449,1.0,NoAct
1624276186.86,fixation,1,130,,0.0,NoAct
1624276188.702,stimulus,1,131,0.342,1.0,NoAct
1624276189.0249999,fixation,1,131,0.165,1.0,NoAct
1624276190.725,stimulus,1,132,0.365,1.0,NoAct
1624276190.86,fixation,1,132,,0.0,NoAct
1624276192.36,stimulus,1,133,,0.0,NoAct
1624276193.0019999,fixation,1,133,0.142,1.0,NoAct
1624276194.738,stimulus,1,134,0.378,1.0,NoAct
1624276194.86,fixation,1,134,,0.0,NoAct
1624276196.748,stimulus,1,135,0.388,1.0,NoAct
1624276196.86,fixation,1,135,,0.0,NoAct
1624276198.36,stimulus,1,136,,0.0,NoAct
1624276198.9729998,fixation,1,136,0.113,1.0,NoAct
1624276200.806,stimulus,1,137,0.446,1.0,NoAct
1624276200.86,fixation,1,137,,0.0,NoAct
1624276202.7199998,stimulus,1,138,0.36,1.0,NoAct
1624276202.86,fixation,1,138,,0.0,NoAct
1624276204.36,stimulus,1,139,,0.0,NoAct
1624276204.931,fixation,1,139,0.071,1.0,NoAct
1624276206.8149998,stimulus,1,140,0.455,1.0,NoAct
1624276206.86,fixation,1,140,,0.0,NoAct
1624276208.36,stimulus,1,141,,0.0,NoAct
1624276209.4399998,fixation,1,141,0.58,1.0,NoAct
1624276210.36,stimulus,1,142,,0.0,NoAct
1624276211.083,fixation,1,142,0.223,1.0,NoAct
1624276212.36,stimulus,1,143,,0.0,NoAct
1624276212.8739998,fixation,1,143,0.014,1.0,NoAct
